top,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
310,9,svm,0.9727,0.99,0.9809,0.9389,0.9778,0.9496,0.8816,0.8947,0.886,0.9548,0.9345,0.9548,0.9419,0.9539
320,0,dtree,0.947,0.99,0.9666,0.8296,0.8667,0.8407,0.7851,0.8289,0.7982,0.9095,0.8674,0.9095,0.8831,0.9077
320,1,dtree,0.9607,0.97,0.9647,0.9056,0.9333,0.9126,0.7961,0.8421,0.8114,0.9186,0.8929,0.9186,0.9014,0.9169
320,2,dtree,0.9818,0.97,0.9747,0.8611,0.9333,0.883,0.8728,0.8947,0.8794,0.9367,0.9198,0.9367,0.9232,0.9355
320,3,dtree,0.9561,0.96,0.9542,0.8741,0.9333,0.8926,0.7961,0.8421,0.8114,0.914,0.8843,0.914,0.8926,0.9124
320,4,dtree,0.9636,0.97,0.9657,0.9519,0.9778,0.9593,0.8158,0.8553,0.8289,0.9321,0.9104,0.9321,0.9173,0.9308
320,5,dtree,0.9784,0.96,0.9678,0.8556,0.9333,0.877,0.7829,0.8158,0.7939,0.905,0.8862,0.905,0.8895,0.9032
320,6,dtree,0.9718,0.97,0.9694,0.8519,0.9111,0.8704,0.7149,0.7895,0.739,0.8959,0.859,0.8959,0.87,0.8939
320,7,dtree,0.9587,0.98,0.9663,0.8944,0.9333,0.9052,0.7675,0.8158,0.7829,0.914,0.8799,0.914,0.8908,0.9125
320,8,dtree,0.9345,0.97,0.9514,0.8519,0.9111,0.8704,0.8092,0.8421,0.8202,0.914,0.8746,0.914,0.8898,0.9122
320,9,dtree,0.9909,0.99,0.99,0.8833,0.9111,0.8904,0.7939,0.8421,0.807,0.9231,0.9012,0.9231,0.9068,0.9217
320,0,knn,0.9243,0.94,0.9207,0.9407,0.9778,0.9519,0.8662,0.8816,0.8706,0.9276,0.9077,0.9276,0.9098,0.9267
320,1,knn,0.9375,0.92,0.9145,0.963,1.0,0.9741,0.886,0.9079,0.8925,0.9321,0.925,0.9321,0.9191,0.9314
320,2,knn,0.9464,0.96,0.95,0.9111,0.9333,0.9185,0.9178,0.9342,0.9219,0.9457,0.9294,0.9457,0.9339,0.9448
320,3,knn,0.9284,0.95,0.9367,0.9333,0.9556,0.9407,0.8728,0.8947,0.8794,0.9321,0.9103,0.9321,0.9178,0.9308
320,4,knn,0.9369,0.96,0.947,0.9556,0.9778,0.963,0.8596,0.8816,0.8662,0.9367,0.9141,0.9367,0.9225,0.9354
320,5,knn,0.9519,0.93,0.936,0.9389,0.9778,0.9496,0.8596,0.8947,0.8706,0.9276,0.9175,0.9276,0.9163,0.9264
320,6,knn,0.9088,0.91,0.9005,0.9296,0.9556,0.937,0.886,0.9079,0.8925,0.9186,0.9052,0.9186,0.9052,0.9175
320,7,knn,0.949,0.97,0.9577,0.9444,0.9556,0.9481,0.8794,0.9079,0.8882,0.9457,0.9241,0.9457,0.9318,0.9447
320,8,knn,0.9098,0.93,0.9163,0.9444,0.9778,0.9556,0.8618,0.8816,0.8684,0.9231,0.9004,0.9231,0.9079,0.9216
320,9,knn,0.9339,0.94,0.9305,0.9333,0.9556,0.9407,0.8849,0.9079,0.8912,0.9321,0.9169,0.9321,0.9191,0.9312
320,0,rf,0.947,0.99,0.9666,0.9074,0.9556,0.9222,0.8399,0.8553,0.8443,0.9367,0.9021,0.9367,0.9155,0.9354
320,1,rf,0.9518,0.97,0.9605,0.9389,0.9778,0.9496,0.8816,0.8947,0.886,0.9457,0.925,0.9457,0.9326,0.9446
320,2,rf,0.9818,0.99,0.9852,0.9185,0.9556,0.9296,0.9211,0.9342,0.9254,0.9638,0.948,0.9638,0.9533,0.9631
320,3,rf,0.9561,0.96,0.9542,0.9407,0.9778,0.9519,0.8553,0.8816,0.864,0.9367,0.9183,0.9367,0.9227,0.9355
320,4,rf,0.9727,0.98,0.9757,0.963,1.0,0.9741,0.9013,0.9079,0.9035,0.9593,0.9462,0.9593,0.9505,0.9585
320,5,rf,0.9784,0.96,0.9678,0.9111,0.9556,0.9215,0.8882,0.9079,0.8947,0.9412,0.9337,0.9412,0.9332,0.9402
320,6,rf,0.9727,0.99,0.9809,0.9407,0.9778,0.9519,0.8947,0.9079,0.8991,0.9593,0.9394,0.9593,0.9469,0.9585
320,7,rf,0.9833,1.0,0.9909,0.9278,0.9556,0.9348,0.8684,0.8947,0.8772,0.9548,0.9325,0.9548,0.9404,0.954
