layer,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
2,5,dtree,0.9778,0.96,0.9684,0.8833,0.9556,0.9052,0.7237,0.7763,0.7412,0.8959,0.8712,0.8959,0.8774,0.8939
2,6,dtree,0.9718,0.97,0.9694,0.8185,0.9111,0.8482,0.8026,0.8421,0.8158,0.914,0.8824,0.914,0.8919,0.9124
2,7,dtree,0.9652,1.0,0.9814,0.8944,0.9333,0.9052,0.8026,0.8421,0.8158,0.9321,0.8949,0.9321,0.9089,0.9309
2,8,dtree,0.9536,0.97,0.9609,0.8296,0.9111,0.8556,0.7939,0.8289,0.8048,0.9095,0.8734,0.9095,0.8858,0.9077
2,9,dtree,0.9727,0.98,0.9752,0.8796,0.9556,0.9015,0.8158,0.8421,0.8246,0.9276,0.8998,0.9276,0.9084,0.9263
2,0,knn,0.9101,0.93,0.9122,0.9444,0.9556,0.9481,0.8596,0.8816,0.8662,0.9186,0.8997,0.9186,0.9037,0.9173
2,1,knn,0.9284,0.92,0.9098,0.963,1.0,0.9741,0.8728,0.8947,0.8794,0.9276,0.9163,0.9276,0.9124,0.9268
2,2,knn,0.9464,0.96,0.95,0.9111,0.9333,0.9185,0.8925,0.9211,0.9013,0.9412,0.9207,0.9412,0.9268,0.9401
2,3,knn,0.9375,0.95,0.9414,0.9333,0.9556,0.9407,0.8794,0.9079,0.8882,0.9367,0.9167,0.9367,0.923,0.9354
2,4,knn,0.9369,0.96,0.947,0.9556,0.9778,0.963,0.8596,0.8816,0.8662,0.9367,0.9141,0.9367,0.9225,0.9354
2,5,knn,0.9519,0.93,0.936,0.9389,0.9778,0.9496,0.8596,0.8947,0.8706,0.9276,0.9175,0.9276,0.9163,0.9264
2,6,knn,0.9088,0.91,0.9005,0.9333,0.9556,0.9407,0.8849,0.9079,0.8912,0.9186,0.9056,0.9186,0.9055,0.9175
2,7,knn,0.949,0.97,0.9577,0.9444,0.9556,0.9481,0.8991,0.9211,0.9057,0.9502,0.9309,0.9502,0.9379,0.9493
2,8,knn,0.9281,0.94,0.9314,0.9444,0.9778,0.9556,0.8684,0.8947,0.8772,0.9321,0.9109,0.9321,0.9177,0.9308
2,9,knn,0.9381,0.94,0.9336,0.9222,0.9556,0.9333,0.8651,0.8947,0.8737,0.9276,0.9098,0.9276,0.9129,0.9265
2,0,rf,0.9642,0.98,0.9709,0.9185,0.9556,0.9296,0.8399,0.8684,0.8487,0.9367,0.9122,0.9367,0.9205,0.9354
2,1,rf,0.9607,0.97,0.9647,0.9611,1.0,0.9719,0.9013,0.9079,0.9035,0.9548,0.9404,0.9548,0.9451,0.9539
2,2,rf,0.9818,0.99,0.9852,0.9074,0.9556,0.9222,0.8882,0.9079,0.8947,0.9548,0.9345,0.9548,0.9413,0.9539
2,3,rf,0.9651,0.96,0.959,0.9407,0.9778,0.9519,0.8816,0.9079,0.8904,0.9457,0.9314,0.9457,0.9339,0.9447
2,4,rf,0.9727,0.98,0.9757,0.963,1.0,0.9741,0.9013,0.9079,0.9035,0.9593,0.9462,0.9593,0.9505,0.9585
2,5,rf,0.9875,0.96,0.9725,0.9222,0.9778,0.9363,0.8794,0.8947,0.8838,0.9412,0.937,0.9412,0.9346,0.9402
2,6,rf,0.99,0.99,0.99,0.9259,0.9778,0.9407,0.8794,0.8947,0.8838,0.9548,0.9389,0.9548,0.9434,0.9539
2,7,rf,0.9833,1.0,0.9909,0.9278,0.9556,0.9348,0.8882,0.9079,0.8947,0.9593,0.9393,0.9593,0.9464,0.9586
2,8,rf,0.9727,0.98,0.9757,0.9185,0.9778,0.937,0.8816,0.8947,0.886,0.9502,0.9303,0.9502,0.937,0.9493
2,9,rf,0.9909,0.99,0.99,0.9278,0.9778,0.9422,0.8553,0.8816,0.864,0.9502,0.9314,0.9502,0.9369,0.9493
2,0,svm,0.9542,0.98,0.9662,0.9296,0.9556,0.937,0.8531,0.8684,0.8575,0.9367,0.9144,0.9367,0.9228,0.9354
2,1,svm,0.9518,0.97,0.9605,0.9611,1.0,0.9719,0.8882,0.8947,0.8904,0.9502,0.9318,0.9502,0.9387,0.9493
2,2,svm,0.9742,0.99,0.9809,0.9056,0.9556,0.92,0.8816,0.8947,0.886,0.9502,0.9284,0.9502,0.9358,0.9493
2,3,svm,0.954,0.97,0.9608,0.9296,0.9778,0.9444,0.8618,0.8816,0.8684,0.9412,0.9174,0.9412,0.9257,0.94
2,4,svm,0.9678,0.99,0.9769,0.963,1.0,0.9741,0.9079,0.9079,0.9079,0.9638,0.9462,0.9638,0.9526,0.9632
2,5,svm,0.9775,0.96,0.9678,0.9222,0.9778,0.9363,0.8596,0.8816,0.8662,0.9367,0.9257,0.9367,0.9264,0.9356
2,6,svm,0.9809,0.99,0.9852,0.9389,0.9778,0.9496,0.8947,0.9079,0.8991,0.9593,0.9427,0.9593,0.9484,0.9585
2,7,svm,0.9742,1.0,0.9862,0.9167,0.9556,0.9274,0.9013,0.9079,0.9035,0.9593,0.9374,0.9593,0.9458,0.9586
2,8,svm,0.9651,0.98,0.9714,0.9185,0.9556,0.9296,0.8947,0.9079,0.8991,0.9502,0.9314,0.9502,0.938,0.9493
2,9,svm,0.9809,0.99,0.9852,0.9278,0.9778,0.9422,0.8618,0.8816,0.8684,0.9502,0.9291,0.9502,0.9363,0.9493
