sig pair,all f1,large f1,medium f1,small f1
baseline_all vs. baseline_part,0.6223885649657668,0.31128478561745365,0.020863176920007144,0.009078214214439792
baseline_all vs. smote_part,0.050916897919314696,0.6901077006103858,0.15073127141123108,0.00025984541794579416
baseline_all vs. avpass_part,1.3754060405698414e-05,0.48424140893118317,0.687191458338084,1.6253591878261486e-09
baseline_all vs. sia_part,4.7521538261578036e-11,6.585514574976668e-06,0.0016048113407864139,6.085670114395151e-09
baseline_all vs. mlp_part,0.2797340546547747,0.36381011121553297,0.0004988798986695645,0.18733455529927676
baseline_all vs. prototype_part,8.48281313247681e-05,0.27871931977770287,1.1647371440927064e-06,0.38226966145619024
baseline_all vs. relation_part,4.6561342830653367e-11,1.2332576492476579e-05,2.4007646151920886e-13,8.961597733369513e-20
baseline_all vs. gat_part,0.6350498059838949,0.6331849874182014,0.016023482475094643,0.025050438493115855
baseline_all vs. ggnn_part,0.14026290644068518,0.8631746925351483,0.003609561283949372,0.35769342418699046
baseline_part vs. smote_part,0.11603231212387378,0.5832250597526416,0.19430873812805316,0.04645518118984131
baseline_part vs. avpass_part,2.8542073200546467e-05,0.8090294505533836,0.013538158862544473,2.124079155458014e-09
baseline_part vs. sia_part,2.068232399464407e-10,8.43575531590874e-05,8.095419591961418e-05,4.4834150437966814e-08
baseline_part vs. mlp_part,0.13077946622562803,0.9065137490074401,0.4874912031902454,0.17182953474836596
baseline_part vs. prototype_part,4.396606898761514e-05,0.0478433185314956,0.0010322548912891482,0.0009955521843201054
baseline_part vs. relation_part,3.354806952985825e-11,8.383779256120846e-06,3.5422038897032335e-14,1.0300644687255866e-20
baseline_part vs. gat_part,0.40615385564875006,0.5805675421774018,0.6849237556987511,0.5832309277868711
baseline_part vs. ggnn_part,0.07260696888954002,0.3846392131887558,0.532331553227043,0.06177259699708
smote_part vs. avpass_part,0.001233326303012742,0.7741599604515557,0.09342188347635355,2.5893928786539005e-06
smote_part vs. sia_part,2.410489873356243e-07,8.254769094076148e-05,0.00010071050461286908,2.78312330638291e-05
smote_part vs. mlp_part,0.008290427877667478,0.6564649862718412,0.018647856698494922,0.005132564833497334
smote_part vs. prototype_part,5.55449642430951e-06,0.17201777771737137,1.2763804784057468e-05,3.5620737071106306e-05
smote_part vs. relation_part,4.491848445231435e-12,9.334981877888551e-06,1.3478556517312365e-13,1.3097706545984739e-20
smote_part vs. gat_part,0.046817634129744275,0.9682003869253862,0.11683830023952581,0.01797656973851568
smote_part vs. ggnn_part,0.005860382453807107,0.8032984729207625,0.04789440558023605,0.001545189375325301
avpass_part vs. sia_part,0.002730137957563053,0.00017831436850849824,0.007932651402816331,0.20629033148172074
avpass_part vs. mlp_part,3.453059144349875e-06,0.8925448576668064,0.00043838432628506325,9.226893721162407e-09
avpass_part vs. prototype_part,1.5084411455395922e-08,0.10312432915456145,8.247526067772816e-07,4.365778662218583e-10
avpass_part vs. relation_part,7.822521340469825e-13,8.161310381618528e-06,4.06714324376832e-14,2.3601210008056568e-21
avpass_part vs. gat_part,2.2300093952458477e-05,0.7884360830956608,0.010576058345490115,1.0754766421941861e-09
avpass_part vs. ggnn_part,2.7199569025797224e-06,0.5767352053125152,0.00239536557916676,2.0872117857248686e-09
sia_part vs. mlp_part,9.670887181544968e-12,5.334831155855549e-05,4.4703701332769166e-07,4.8129106513067736e-08
sia_part vs. prototype_part,3.729125023901489e-10,1.162892418364575e-06,1.3381874977574153e-08,1.4139898814730282e-09
sia_part vs. relation_part,1.3411364800713702e-11,3.1987329407774158e-06,5.1380492487295276e-14,6.880436558142432e-22
sia_part vs. gat_part,3.9229194938532426e-08,1.8596398121305155e-05,0.00014984188765452495,1.994258438355088e-08
sia_part vs. ggnn_part,3.516661105733439e-09,5.67840150462252e-06,1.320435443983288e-05,1.1873903469041472e-08
mlp_part vs. prototype_part,0.00039293670289988617,0.05780206826800186,0.0011853270630997816,0.035130065500694634
mlp_part vs. relation_part,5.88748998659812e-11,8.874672697038938e-06,4.1894271550130695e-13,4.178364650164602e-20
mlp_part vs. gat_part,0.7406112124000943,0.6597136701313588,0.8738153799139444,0.36086379727175644
mlp_part vs. ggnn_part,0.49824982148379404,0.4470513696893528,0.9849104349428655,0.6479364876335039
prototype_part vs. relation_part,8.754363951190576e-12,1.781577359764969e-05,6.594941156383747e-13,1.16070835043305e-19
prototype_part vs. gat_part,0.0007159591501333819,0.12870234398522332,0.006360374082026581,0.002893135451544485
prototype_part vs. ggnn_part,0.0033861288544434253,0.20592758223608254,0.0037265251334908764,0.07746095231563294
relation_part vs. gat_part,3.3569524302917696e-12,1.0419525842269628e-05,1.1333138947727033e-13,1.1248165916648578e-20
relation_part vs. ggnn_part,7.254088947632107e-12,1.1966180006440894e-05,5.564480839591914e-14,2.728250942504155e-20
gat_part vs. ggnn_part,0.4055375371999943,0.7517198170885618,0.8749664711906018,0.1538651673311599
