method name,weight
android.permission.SET_PREFERRED_APPLICATIONS,0.05607281425288946
android.intent.action.REBOOT,0.05354399841264712
android.permission.UPDATE_DEVICE_STATS,0.05350124129259903
android.app.action.DEVICE_ADMIN_ENABLED,0.052223061811016436
android.permission.EXPAND_STATUS_BAR,0.04933735847019083
Runtime.addShutdownHook(java.lang.Thread),0.04852874946272667
android.permission.SET_WALLPAPER_HINTS,0.0471437611588188
android.provider.Telephony.WAP_PUSH_RECEIVED,0.046981660095729794
"PackageManager.setComponentEnabledSetting(android.content.ComponentName, int, int)",0.04695510095978239
Activity.removeDialog(int),0.04687261338206916
Time.toMillis(boolean),0.04660589807184312
DevicePolicyManager.wipeData(int),0.04656041334804417
android.permission.MODIFY_AUDIO_SETTINGS,0.0461607362619203
android.intent.action.PACKAGE_REPLACED,0.046105271231537515
android.permission.READ_EXTERNAL_STORAGE,0.045475465163471895
ConnectivityManager.isActiveNetworkMetered(),0.04537453924754775
DataOutputStream.writeFloat(float),0.04392266280205348
Duration.equals(java.lang.Object),0.0437557363695511
TelephonyManager.getDeviceSoftwareVersion(),0.04330600567767817
"Document.createElementNS(java.lang.String, java.lang.String)",0.04323904657692257
android.permission.DELETE_CACHE_FILES,0.04297356928163598
com.android.alarm.permission.SET_ALARM,0.04259586610115562
android.intent.category.ALTERNATIVE,0.04194178520926606
BluetoothDevice.getBondState(),0.04061472690252188
android.intent.action.TIME_SET,0.04048977987927049
android.permission.BROADCAST_STICKY,0.038845015946898265
PhoneStateListener.onServiceStateChanged(android.telephony.ServiceState),0.03766348773349115
"LocalActivityManager.startActivity(java.lang.String, android.content.Intent)",0.03560897060130941
android.intent.action.INSERT,0.03539516475074489
WallpaperManager.setResource(int),0.034669629304368677
android.intent.action.SET_WALLPAPER,0.032971932704825235
TelephonyManager.getVoiceMailNumber(),0.03051564565894882
PackageManager.addPackageToPreferred(java.lang.String),0.02801090937623485
android.permission.MOUNT_FORMAT_FILESYSTEMS,0.027950898898981613
android.intent.category.MONKEY,0.027239649599615667
BluetoothAdapter.getScanMode(),0.026615979164265724
"Gallery.onFocusChanged(boolean, int, android.graphics.Rect)",0.02644029389997815
android.permission.STATUS_BAR,0.02540480558403324
android.permission.REBOOT,0.02514116376892339
PhoneStateListener.onCellLocationChanged(android.telephony.CellLocation),0.0249248105931148
Time.normalize(boolean),0.024867212989829746
WallpaperManager.setBitmap(android.graphics.Bitmap),0.023825447122297838
ServiceState.getOperatorAlphaLong(),0.021539253107944134
android.view.InputMethod,0.02071247559016065
"MediaPlayer.setWakeMode(android.content.Context, int)",0.020505248147061117
Camera.getNumberOfCameras(),0.019386248800315364
"Service.startForeground(int, android.app.Notification)",0.018505481260948642
"ContentResolver.getSyncAutomatically(android.accounts.Account, java.lang.String)",0.018408023042359112
Context.removeStickyBroadcast(android.content.Intent),0.017773820646794114
android.permission.BROADCAST_WAP_PUSH,0.017683023306656942
android.permission.BATTERY_STATS,0.01666848588522818
android.permission.BROADCAST_SMS,0.015347406126498875
BluetoothAdapter.getState(),0.014664753615229564
android.permission.BIND_APPWIDGET,0.01414798412420648
TrafficStats.untagSocket(java.net.Socket),0.009936125612126645
android.provider.Telephony.SIM_FULL,0.009571777632567446
NfcAdapter.disableForegroundDispatch(android.app.Activity),0.009465910647390885
ListFragment.setListShown(boolean),0.009126162803751114
Loader.reset(),0.007259521019268966
LocationManager.removeProximityAlert(android.app.PendingIntent),0.006981748436669655
Element.removeAttribute(java.lang.String),0.006904382666073516
"BluetoothAdapter.listenUsingRfcommWithServiceRecord(java.lang.String, java.util.UUID)",0.006750936449237521
BluetoothDevice.createRfcommSocketToServiceRecord(java.util.UUID),0.006663119971956455
android.permission.NFC,0.0064248404631772615
BluetoothAdapter.cancelDiscovery(),0.005397152864935251
android.permission.CHANGE_COMPONENT_ENABLED_STATE,0.00404944859385914
android.permission.CALL_PRIVILEGED,0.003949276027362281
"Location.convert(double, int)",0.0035974888147691786
android.bluetooth.adapter.action.STATE_CHANGED,0.0029098368184783396
"AudioRecord.AudioRecord(int, int, int, int, int)",0.0009940070030136638
Context.getExternalCacheDir(),0.0007696011485283094
android.permission.PERSISTENT_ACTIVITY,0.0007414541264081365
BluetoothAdapter.startDiscovery(),0.0006428083292915332
android.bluetooth.device.action.ACL_CONNECTED,0.0006277163709542677
Activity.stopManagingCursor(android.database.Cursor),0.0
BluetoothAdapter.getBondedDevices(),0.0
BluetoothAdapter.getName(),0.0
BluetoothAdapter.isDiscovering(),0.0
BluetoothAdapter.setName(java.lang.String),0.0
BluetoothDevice.getBluetoothClass(),0.0
BluetoothDevice.getName(),0.0
BluetoothSocket.connect(),0.0
CellLocation.requestLocationUpdate(),0.0
Context.sendStickyBroadcast(android.content.Intent),0.0
DataSetObserver.onChanged(),0.0
"LocationManager.addProximityAlert(double, double, float, long, android.app.PendingIntent)",0.0
Node.getNamespaceURI(),0.0
"PopupWindow.setWindowLayoutMode(int, int)",0.0
PowerManager.reboot(java.lang.String),0.0
RingtoneManager.getCursor(),0.0
"ScrollingMovementMethod.up(android.widget.TextView, android.text.Spannable)",0.0
ServiceState.getOperatorNumeric(),0.0
