sig pair,all f1,large f1,medium f1,small f1
mlp vs. cnn,7.022463071075242e-15,8.780235989431155e-11,3.601478314277189e-11,1.0628178650627042e-09
mlp vs. lstm,4.384263138074793e-16,1.6366942171952346e-21,4.2400446382562997e-11,5.778319315321698e-10
cnn vs. lstm,4.712346614787146e-14,1.505730259094622e-14,5.737759458898484e-06,1.9203394402554693e-07
